Date,Open,High,Low,Close,Adj Close,Volume
2017-04-10,50.000000,50.000000,48.990002,49.570000,47.909092,137581
2017-04-11,49.025002,49.465000,48.814999,49.134998,47.488667,161664
2017-04-12,48.980000,49.645000,48.980000,49.110001,47.464508,124660
2017-04-13,49.084999,49.165001,48.615002,49.020000,47.377522,76787
2017-04-18,49.020000,49.110001,48.209999,48.494999,46.870113,134939
2017-04-19,48.400002,48.630001,48.049999,48.310001,46.691315,123067
2017-04-20,48.099998,48.985001,48.099998,48.369999,46.749302,80007
2017-04-21,48.570000,48.849998,47.790001,48.000000,46.391701,132206
2017-04-24,49.310001,49.869999,48.959999,49.869999,48.199039,228924
2017-04-25,49.814999,50.160000,49.505001,50.160000,48.479324,115407
2017-04-26,50.299999,51.000000,50.070000,51.000000,49.291180,178578
2017-04-27,50.889999,50.980000,50.139999,50.200001,48.517986,151939
2017-04-28,50.490002,50.770000,50.369999,50.770000,49.068886,197860
2017-05-02,50.770000,51.080002,50.340000,51.080002,49.368500,135063
2017-05-03,51.150002,51.180000,50.770000,51.150002,49.436157,135217
2017-05-04,52.000000,54.990002,52.000000,54.840000,53.002518,443869
2017-05-05,53.810001,54.799999,53.810001,54.799999,52.963856,173702
2017-05-08,54.849998,54.950001,53.849998,54.680000,52.847878,180903
2017-05-09,54.610001,55.220001,54.590000,54.869999,53.031509,136731
2017-05-10,54.709999,55.250000,53.820000,54.240002,52.422623,182522
2017-05-11,54.240002,54.520000,53.389999,53.990002,52.181000,294952
2017-05-12,53.799999,54.090000,53.259998,53.380001,51.591434,124919
2017-05-15,53.860001,53.900002,53.330002,53.779999,51.978031,123447
2017-05-16,53.900002,54.340000,53.509998,54.340000,52.519268,139574
2017-05-17,53.669998,54.180000,52.970001,53.689999,51.891048,168562
2017-05-18,53.799999,54.340000,52.099998,52.349998,50.595943,283474
2017-05-19,53.220001,53.250000,52.299999,52.910000,51.137184,170584
2017-05-22,53.000000,53.639999,52.869999,53.259998,51.475452,97402
2017-05-23,53.000000,53.410000,52.709999,53.369999,51.581768,113699
2017-05-24,52.970001,53.799999,52.970001,53.529999,51.736408,99535
2017-05-25,53.529999,53.529999,53.529999,53.529999,51.736408,0
2017-05-26,53.849998,53.959999,53.340000,53.930000,52.123009,110657
2017-05-29,53.990002,54.000000,53.360001,53.709999,51.910378,74504
2017-05-30,53.209999,53.650002,53.139999,53.360001,51.572105,87219
2017-05-31,53.000000,53.660000,53.000000,53.410000,51.620430,253087
2017-06-01,53.310001,54.480000,53.169998,54.480000,52.654579,129985
2017-06-02,54.470001,54.549999,54.000000,54.259998,52.441948,69304
2017-06-06,54.259998,54.360001,53.330002,53.750000,51.949039,144944
2017-06-07,53.759998,54.150002,53.110001,54.150002,52.335636,113029
2017-06-08,54.200001,54.380001,53.599998,54.259998,52.441948,146932
2017-06-09,53.990002,54.840000,53.770000,54.500000,52.673908,99816
2017-06-12,54.470001,54.470001,52.610001,53.060001,51.282158,147949
2017-06-13,53.410000,54.470001,53.369999,54.470001,52.644913,135711
2017-06-14,54.189999,54.560001,53.770000,54.070000,52.258316,139429
2017-06-15,54.070000,54.070000,54.070000,54.070000,52.258316,0
2017-06-16,54.060001,54.500000,53.549999,54.099998,52.287308,470341
2017-06-19,54.240002,54.849998,54.240002,54.389999,52.567593,103234
2017-06-20,54.430000,54.790001,54.150002,54.150002,52.335636,113525
2017-06-21,54.200001,54.570000,53.900002,54.570000,52.741562,128904
2017-06-22,54.599998,54.599998,53.919998,53.919998,52.113338,183918
2017-06-23,53.900002,54.310001,53.330002,53.570000,51.775070,124042
2017-06-26,53.490002,54.040001,53.430000,53.740002,51.939373,80622
2017-06-27,53.930000,53.930000,53.480000,53.750000,51.949039,113771
2017-06-28,54.009998,54.009998,52.630001,53.139999,51.359474,141976
2017-06-29,52.820000,53.220001,52.209999,52.509998,50.750584,124913
2017-06-30,52.320000,53.020000,52.160000,52.740002,50.972881,105714
2017-07-03,53.209999,53.209999,52.389999,52.779999,51.011539,103553
2017-07-04,52.450001,52.799999,52.369999,52.540001,50.779583,86248
2017-07-05,52.250000,53.450001,52.250000,53.080002,51.301487,156695
2017-07-06,53.020000,53.119999,52.259998,52.490002,50.731258,107751
2017-07-07,52.660000,52.660000,51.709999,51.990002,50.248009,137478
2017-07-10,52.450001,53.650002,52.130001,53.060001,51.282158,160120
2017-07-11,52.820000,53.480000,52.820000,53.279999,51.494785,87137
2017-07-12,53.599998,54.279999,53.459999,54.090000,52.277645,84430
2017-07-13,54.230000,54.500000,53.990002,54.500000,52.673908,96983
2017-07-14,54.500000,54.709999,54.240002,54.630001,52.799553,70579
2017-07-17,54.700001,54.889999,54.270000,54.430000,52.606255,117321
2017-07-18,54.150002,54.549999,53.639999,54.369999,52.548264,104316
2017-07-19,54.369999,54.369999,53.730000,54.090000,52.277645,90991
2017-07-20,54.000000,54.189999,52.910000,53.029999,51.253162,120920
2017-07-21,53.070000,53.180000,52.500000,52.599998,50.837570,100527
2017-07-24,52.900002,52.900002,51.740002,52.000000,50.257675,104511
2017-07-25,52.000000,52.060001,51.889999,51.930000,50.190018,129787
2017-07-26,51.900002,52.180000,51.720001,51.799999,50.064373,110135
2017-07-27,51.790001,52.020000,51.669998,52.000000,50.257675,146652
2017-07-28,52.000000,52.040001,50.930000,51.689999,49.958061,144969
2017-07-31,51.549999,51.990002,51.470001,51.770000,50.035381,103436
2017-08-01,52.000000,52.000000,50.529999,50.619999,48.923912,188341
2017-08-02,51.889999,51.889999,50.040001,50.680000,48.981903,175151
2017-08-03,50.680000,50.689999,49.799999,50.180000,48.498657,186328
2017-08-04,47.000000,47.700001,44.500000,47.090000,45.512188,772070
2017-08-07,47.375000,47.375000,45.560001,45.799999,44.265411,399986
2017-08-08,45.990002,46.099998,44.599998,45.365002,43.844990,379558
2017-08-09,45.299999,45.400002,44.830002,45.154999,43.642021,199755
2017-08-10,45.185001,45.235001,44.009998,44.320000,42.835003,257998
2017-08-11,44.285000,44.814999,44.115002,44.814999,43.313416,235903
2017-08-14,45.169998,45.700001,45.119999,45.365002,43.844990,194695
2017-08-16,45.365002,46.660000,45.365002,46.384998,44.830811,305688
2017-08-17,46.474998,46.840000,46.134998,46.459999,44.903297,201665
2017-08-18,46.000000,46.669998,45.639999,45.965000,44.424885,201121
2017-08-21,46.000000,46.205002,45.400002,45.705002,44.173599,177287
2017-08-22,46.000000,46.095001,45.150002,45.685001,44.154266,168301
2017-08-23,45.980000,46.215000,45.369999,45.369999,43.849819,142556
2017-08-24,45.494999,45.910000,45.029999,45.860001,44.323402,131568
2017-08-25,46.035000,46.035000,45.645000,45.814999,44.279907,120997
2017-08-28,46.000000,46.040001,45.009998,45.334999,43.815990,99767
2017-08-29,45.150002,45.314999,44.830002,45.305000,43.786999,209651
2017-08-30,45.785000,45.790001,45.255001,45.404999,43.883648,126443
2017-08-31,45.674999,46.154999,45.395000,45.709999,44.178429,281541
2017-09-01,45.709999,46.209999,45.709999,46.105000,44.560192,122900
2017-09-04,46.084999,46.099998,45.700001,46.049999,44.507034,92469
2017-09-05,46.250000,46.490002,45.950001,46.299999,44.748657,142195
2017-09-06,46.455002,46.455002,45.400002,45.474998,43.951302,147862
2017-09-07,45.845001,46.400002,45.500000,46.139999,44.594021,120300
2017-09-08,46.365002,46.590000,46.035000,46.439999,44.883968,142445
2017-09-11,46.485001,47.395000,46.400002,47.395000,45.806969,119880
2017-09-12,47.500000,47.799999,47.389999,47.700001,46.101753,133320
2017-09-13,47.700001,48.020000,47.439999,48.020000,46.411030,177707
2017-09-14,48.090000,48.250000,47.380001,47.770000,46.169407,187603
2017-09-15,47.650002,47.650002,46.544998,47.000000,45.425205,278825
2017-09-18,47.410000,47.605000,47.000000,47.605000,46.009933,152731
2017-09-19,47.669998,47.884998,47.520000,47.884998,46.280552,103815
2017-09-20,48.000000,48.200001,47.770000,48.060001,46.449688,153747
2017-09-21,48.215000,48.500000,47.900002,48.480000,46.855614,155207
2017-09-22,48.480000,49.139999,48.290001,49.139999,47.493500,163909
2017-09-25,49.139999,49.299999,48.695000,49.055000,47.411350,141403
2017-09-26,48.974998,48.974998,47.880001,48.000000,46.391701,161358
2017-09-27,48.384998,49.000000,47.855000,48.875000,47.237381,145130
2017-09-28,48.799999,49.230000,48.764999,49.230000,47.580486,109025
2017-09-29,49.205002,49.205002,48.595001,48.904999,47.266373,98316
2017-10-02,49.000000,49.224998,48.720001,49.200001,47.551491,87776
2017-10-03,49.200001,49.235001,48.500000,48.730000,47.097240,87238
2017-10-04,48.610001,48.794998,47.630001,47.730000,46.130745,231314
2017-10-05,47.700001,48.555000,47.700001,48.555000,46.928104,103947
2017-10-06,48.560001,49.014999,48.200001,48.430000,46.807293,103424
2017-10-09,48.415001,48.720001,48.020000,48.625000,46.995758,85938
2017-10-10,48.669998,48.669998,48.139999,48.325001,46.705811,81351
2017-10-11,48.435001,48.845001,48.310001,48.459999,46.836285,128350
2017-10-12,48.450001,48.689999,48.195000,48.555000,46.928104,118057
2017-10-13,48.160000,48.685001,48.160000,48.459999,46.836285,111235
2017-10-16,48.755001,48.755001,48.299999,48.459999,46.836285,73266
2017-10-17,48.630001,48.630001,47.820000,47.900002,46.295052,101980
2017-10-18,47.959999,48.410000,47.855000,48.165001,46.551170,87347
2017-10-19,48.560001,48.599998,48.080002,48.500000,46.874947,97157
2017-10-20,48.669998,48.955002,48.340000,48.650002,47.019920,114502
2017-10-23,48.840000,48.910000,48.330002,48.689999,47.058578,127694
2017-10-24,48.650002,48.700001,47.880001,48.224998,46.609158,93968
2017-10-25,48.250000,48.250000,47.250000,47.294998,45.710320,147091
2017-10-26,47.294998,47.294998,47.294998,47.294998,45.710320,0
2017-10-27,46.509998,48.180000,46.215000,47.855000,46.251556,261785
2017-10-30,48.000000,49.185001,48.000000,49.185001,47.536995,179676
2017-10-31,49.150002,49.200001,48.145000,48.540001,46.913605,97311
2017-11-01,48.540001,48.540001,48.540001,48.540001,46.913605,0
2017-11-02,49.000000,50.560001,48.755001,50.419998,48.730614,246398
2017-11-03,49.950001,49.950001,46.549999,47.735001,46.135578,547846
2017-11-06,47.799999,47.799999,46.665001,46.770000,45.202911,342237
2017-11-07,47.099998,47.404999,46.705002,46.990002,45.415543,169657
2017-11-08,47.150002,47.150002,46.099998,46.314999,44.763157,210633
2017-11-09,46.555000,47.145000,46.200001,46.575001,45.014446,197918
2017-11-10,46.599998,46.939999,46.160000,46.715000,45.149754,115741
2017-11-13,46.904999,46.904999,45.314999,45.820000,44.284740,180450
2017-11-14,46.000000,46.395000,45.450001,45.924999,44.386223,159916
2017-11-15,45.400002,45.500000,44.685001,45.389999,43.869148,157070
2017-11-16,45.605000,46.084999,45.290001,45.919998,44.381390,128555
2017-11-17,45.900002,45.974998,45.099998,45.744999,44.212254,149146
2017-11-20,45.549999,45.840000,44.849998,45.750000,44.217087,178459
2017-11-21,45.584999,46.465000,45.549999,46.014999,44.473209,131761
2017-11-22,46.075001,46.785000,45.410000,45.410000,43.888481,200971
2017-11-23,45.360001,45.599998,45.160000,45.555000,44.028622,106357
2017-11-24,45.500000,45.855000,45.400002,45.674999,44.144600,100252
2017-11-27,45.549999,46.064999,45.509998,45.529999,44.004459,82178
2017-11-28,45.599998,46.365002,45.555000,46.125000,44.579525,129203
2017-11-29,46.299999,46.615002,46.099998,46.365002,44.811481,179668
2017-11-30,46.400002,47.055000,46.150002,47.055000,45.478363,348156
2017-12-01,46.935001,47.029999,46.160000,46.400002,44.845310,160961
2017-12-04,47.000000,47.680000,46.700001,47.334999,45.748981,169334
2017-12-05,47.435001,47.775002,47.264999,47.700001,46.101753,141598
2017-12-06,47.689999,48.235001,47.200001,48.185001,46.570503,266403
2017-12-07,48.299999,48.500000,47.889999,48.005001,46.396534,193400
2017-12-08,48.005001,48.005001,48.005001,48.005001,46.396534,0
2017-12-11,48.400002,48.400002,47.705002,47.919998,46.314377,145298
2017-12-12,48.000000,48.000000,47.415001,47.930000,46.324043,131558
2017-12-13,47.720001,47.790001,46.740002,47.090000,45.512188,230295
2017-12-14,47.380001,47.380001,46.360001,46.650002,45.086933,190552
2017-12-15,46.310001,46.500000,45.660000,45.849998,44.313736,449361
2017-12-18,46.000000,47.570000,46.000000,47.360001,45.773144,224309
2017-12-19,47.700001,47.880001,47.000000,47.154999,45.575012,89679
2017-12-20,47.215000,47.825001,47.000000,47.215000,45.633003,111280
2017-12-21,47.009998,47.544998,46.959999,47.340000,45.753815,71168
2017-12-22,47.480000,47.480000,46.500000,46.825001,45.256069,104690
2017-12-27,46.825001,47.070000,45.980000,46.680000,45.115929,120489
2017-12-28,46.500000,47.299999,46.500000,47.299999,45.715153,93785
2017-12-29,47.299999,47.439999,47.000000,47.084999,45.507355,40351
2018-01-02,47.084999,47.599998,46.820000,47.599998,46.005100,64683
2018-01-03,48.000000,48.340000,47.700001,48.119999,46.507675,125596
2018-01-04,48.380001,48.540001,47.820000,47.820000,46.217731,140289
2018-01-05,48.139999,48.320000,47.720001,48.180000,46.565666,121107
2018-01-08,48.400002,48.580002,48.060001,48.080002,46.469021,115619
2018-01-09,48.200001,48.200001,47.700001,47.799999,46.198399,162310
2018-01-10,48.000000,48.160000,47.740002,48.000000,46.391701,138195
2018-01-11,48.080002,48.080002,47.500000,47.680000,46.082420,113965
2018-01-12,47.799999,48.119999,47.619999,48.000000,46.391701,166820
2018-01-15,48.000000,48.480000,47.759998,48.040001,46.430359,168570
2018-01-16,47.820000,48.080002,47.459999,47.700001,46.101753,183205
2018-01-17,47.820000,47.880001,47.480000,47.799999,46.198399,131607
2018-01-18,47.900002,48.799999,47.900002,48.240002,46.623657,153192
2018-01-19,48.459999,48.680000,48.380001,48.540001,46.913605,100803
2018-01-22,48.700001,49.099998,48.599998,48.599998,46.971592,120531
2018-01-23,48.799999,49.560001,48.700001,49.240002,47.590153,121157
2018-01-24,49.180000,49.400002,48.939999,49.240002,47.590153,127353
2018-01-25,49.200001,49.240002,48.580002,48.779999,47.145561,110721
2018-01-26,48.820000,49.099998,48.520000,49.099998,47.454842,89336
2018-01-29,49.099998,49.439999,48.860001,49.380001,47.725460,79747
2018-01-30,49.279999,49.340000,48.220001,48.240002,46.623657,139269
2018-01-31,48.200001,48.820000,48.080002,48.320000,46.700977,191210
2018-02-01,48.799999,49.419998,47.900002,47.900002,46.295052,201660
2018-02-02,48.000000,48.360001,47.200001,47.459999,45.869793,174737
2018-02-05,47.000000,47.139999,46.200001,46.380001,44.825981,182084
2018-02-06,44.360001,46.580002,43.500000,45.040001,43.530880,217942
2018-02-07,45.799999,46.959999,45.419998,46.500000,44.941959,310385
2018-02-08,46.700001,47.099998,46.000000,46.000000,44.458710,209730
2018-02-09,45.099998,47.660000,45.099998,46.320000,44.767990,452328
2018-02-12,46.700001,47.299999,46.279999,46.279999,44.729328,194100
2018-02-13,46.340000,46.799999,45.820000,45.820000,44.284740,162623
2018-02-14,45.799999,47.139999,45.799999,46.939999,45.367214,251544
2018-02-15,47.200001,48.240002,46.919998,47.639999,46.043762,152007
2018-02-16,48.099998,48.400002,47.560001,48.299999,46.681644,125034
2018-02-20,48.299999,48.700001,48.000000,48.459999,46.836285,204701
2018-02-21,48.259998,49.360001,48.180000,48.939999,47.300201,164593
2018-02-22,48.939999,49.000000,48.020000,49.000000,47.358192,181512
2018-02-23,49.000000,49.180000,48.139999,48.599998,46.971592,138037
2018-02-26,48.099998,48.500000,47.820000,47.900002,46.295052,201684
2018-02-27,47.980000,48.400002,47.720001,48.000000,46.391701,194854
2018-02-28,48.119999,48.299999,47.700001,47.700001,46.101753,259111
2018-03-01,47.700001,48.180000,46.799999,46.799999,45.231907,247779
2018-03-02,46.799999,49.200001,46.099998,49.200001,47.551491,291143
2018-03-05,48.000000,48.599998,47.740002,47.740002,46.140411,222648
2018-03-06,48.500000,49.160000,48.240002,48.700001,47.068245,188278
2018-03-07,48.360001,49.099998,47.299999,49.099998,47.454842,238939
2018-03-08,49.000000,49.000000,48.000000,48.500000,46.874947,127302
2018-03-09,48.480000,49.119999,48.400002,48.939999,47.300201,130935
2018-03-12,49.099998,49.240002,48.759998,48.900002,47.261543,71407
2018-03-13,49.099998,49.340000,48.320000,48.320000,46.700977,134500
